c_inst_name_code,c_inst_code,c_inst_type_code,c_inst_begin_year,c_by_nianhao_code,c_by_nianhao_year,c_by_year_range,c_inst_begin_dy,c_inst_floruit_dy,c_inst_first_known_year,c_inst_end_year,c_ey_nianhao_code,c_ey_nianhao_year,c_ey_year_range,c_inst_end_dy,c_inst_last_known_year,c_source,c_pages,c_notes
46,78,2,,,,,,18,,,,,,,,9599,14267,"元代釋普明113313居吳中承天寺"
46,79,2,1300,0,0,2,0,20,,,,,,,,27842,104,"Temple ID 138772 Location: 州城內; Founding: 元代; Other: 城内又有宝积寺"
46,80,2,1100,0,0,2,0,20,,,,,,,,27842,104,"Temple ID 139402 Location: 寧朔縣西; Founding: 宋代夏人"
46,81,2,350,0,0,2,0,20,,,,,,,,27842,104,"Temple ID 139799 Location: 江陵縣西北; Founding: 晋永和中; Other: 洪迈客斋四笔有记"
46,82,2,0,0,0,0,0,20,,,,,,,,27842,104,"Temple ID 139841 Location: 黃崗縣南; Other: 苏轼夜游记"
46,83,2,0,0,0,0,0,20,,,,,,,,27842,104,"Temple ID 139977 Location: 灌縣東南; Other: 俗名马祖寺，有马祖灵骨塔"
47,84,2,,,,,,18,,,,,,,,9599,14339,"元代釋德謙113384居大都崇恩寺"
47,85,2,,,,,,18,,,,,,,,9599,13970,"元代釋定113031居崇恩寺"
48,86,2,,,,,,18,,,,,,,,9599,14380,"元代釋顯示113425居崇恩演福教寺"
49,87,2,,,,,,18,,,,,,,,9599,14116,"元代釋行英113170居處州崇福寺"
49,88,2,1000,0,0,2,0,20,,,,,,,,27842,116,"Temple ID 138626 Location: 朔州車門內; Founding: 辽，统和中; Other: 唐，高宗麟德之太师府，金天德二年今名"
49,89,2,0,0,0,0,0,20,,,,,,,,27842,116,"Temple ID 138627 Location: 昌邑縣南"
49,90,2,0,0,0,2,0,20,,,,,,,,27842,116,"Temple ID 138628 Location: 商城縣西北; Founding: 始建不详; Other: 旧名龙泉寺，明成化中今名"
49,91,2,420,0,0,0,0,20,,,,,,,,27842,117,"Temple ID 139466 Location: 石門縣西; Founding: 梁，天熙二年; Other: 本名常乐寺，宋天禧二年今名，近有广福寺，祗园寺，俱天监中建立"
49,92,2,350,0,0,2,0,20,,,,,,,,27842,117,"Temple ID 139701 Location: 州治南; Founding: 晋代; Other: 初宝宝林寺，宋祥符中今名"
49,93,2,1070,0,0,2,0,20,,,,,,,,27842,117,"Temple ID 139853 Location: 安化縣浮泥山; Founding: 宋熙宁中; Other: 历代名僧驻此"
49,94,2,1145,0,0,2,0,20,,,,,,,,27842,117,"Temple ID 140012 Location: 儀隴縣治西; Founding: 宋绍兴中"
49,95,2,1380,0,0,2,0,20,,,,,,,,27842,117,"Temple ID 140088 Location: 廳南水中山; Founding: 明洪武中; Other: 一名定水寺"
49,96,2,940,0,0,2,0,20,,,,,,,,27842,117,"Temple ID 140105 Location: 晉江縣東北隅; Founding: 五代陈洪进"
50,97,2,,,,,,18,,,,,,,,9599,14074,"元代釋永真113129居吳江崇福永樂寺"
51,98,2,,,,,,18,,,,,,,,9599,14159,"元代釋定演113211居大都崇國寺"
52,99,2,,,,,,18,,,,,,,,9599,14153,"元代釋宗明113206居隨州崇寧萬壽寺"
53,100,1,1338,,,,18,18,,,,,,,,,,"from L.Walton: Su Tianjue, 2.18-19 [Zhonghua ed.]"
54,101,1,,,,,18,18,,,,,,,,9599,10186,
54,3733,1,1352,636,12,0,18,,,,,,,,,38280,398,
54,3734,1,1353,636,13,0,18,,,,,,,,,38282,50,"多个出處:中國古代的書院制度P50;中國書院制度考略P20."
55,102,1,,,,,18,18,,,,,,,,9599,9606,"from L.Walton: Sun 33 (Jiangxi #105); 大明一統志 50.7b; SYXA 78.6a; SYXA supp 78.38b"
56,103,1,,,,,18,18,,,,,,,,9599,1944,
56,104,1,,,,,18,18,,,,,,,,9599,5909,
56,105,1,,,,,18,18,,,,,,,,9599,8290,
56,3439,1,1269,558,5,2,15,,,,,,,,,38278,310,"多个出處:宋代書院與宋代學術之關係P310;元代書院之地理分佈P373;中國古代的書院制度P29."
57,106,1,,,,,18,18,,,,,,,,9599,13724,
58,107,1,1290,,,2,18,18,,,,,,,,9599,780,"from L.Walton: Yanyou, 14.30a-39a"
58,108,1,1282,,,,18,18,,,,,,,,9599,5872,"from L.Walton: Wei Su, Shuoxue zhaigao [e-SKQS], 1.18a-19b; 大明一統志 50.7b; Jiangxi tongzhi (UCB), 22.24b; Raozhou fuzhi, 7.24a"
58,3391,1,1279,623,16,2,18,,,,,,,,,,,
59,109,2,,,,,,18,,,,,,,,9599,14117,"元代釋行修113171居杭州慈修護聖禪院"
60,110,2,,,,,,18,,,,,,,,9599,14260,"元代釋惠珏113306居臨州慈雲寺"
60,111,2,1735,0,0,0,0,20,,,,,,,,27842,85,"Temple ID 138743 Location: 清河縣清江浦; Founding: 雍正十三年奉旨兴修; Other: 乾隆四年龙藏全部下赐"
60,112,2,0,0,0,0,0,20,,,,,,,,27842,85,"Temple ID 138744 Location: 五臺縣五臺山; Other: 古名慈云社"
60,113,2,891,0,0,0,0,20,,,,,,,,27842,85,"Temple ID 138745 Location: 膠州治西; Founding: 唐大顺一年"
60,114,2,65,0,0,2,0,20,,,,,,,,27842,85,"Temple ID 138746 Location: 巩縣青龍山; Founding: 汉明帝时摩腾、竺法兰"
60,115,2,785,0,0,0,0,20,,,,,,,,27842,85,"Temple ID 139429 Location: 府城內頭號市蒼; Founding: 唐李泌兴元二年; Other: 旧名甘露寺，祥符中今名"
60,116,2,800,0,0,2,0,20,,,,,,,,27842,85,"Temple ID 139463 Location: 嘉善縣治西北; Founding: 唐代; Other: 旧名保安寺，宋代今名"
60,117,2,900,0,0,2,0,20,,,,,,,,27842,86,"Temple ID 139683 Location: 贛縣東; Founding: 梁卢光稠; Other: 始名延寿。祥符中今名，元末毁，洪武中重建"
60,118,2,750,0,0,2,0,20,,,,,,,,27842,86,"Temple ID 139847 Location: 湘鄉縣治南; Founding: 唐天宝中"
60,119,2,800,0,0,2,0,20,,,,,,,,27842,86,"Temple ID 139848 Location: 瀏縣北大川山; Founding: 唐寿树禅师"
61,120,2,,,,,,18,,,,,,,,9599,14079,"元代釋玄堅113134居雲南大德寺"
61,121,2,1203,0,0,0,0,20,,,,,,,,27842,152,"Temple ID 138433 Location: 任邱縣大務村; Founding: 金太和三年; Other: 明嘉靖中重修，别有贤寺、吉灵寺"
61,122,2,0,0,0,0,0,20,,,,,,,,27842,152,"Temple ID 140400 Location: 城西拜佛臺山下"
62,123,2,,,,,,18,,,,,,,,9599,14362,"元代釋餘澤113407居吳之大弘教寺"
63,124,2,,,,,,18,,,,,,,,9599,13977,"元代釋益113037居大洪濟寺"
64,125,2,,,,,,18,,,,,,,,9599,14365,"元代釋膽巴113410居大護國仁王寺"
65,126,1,1293,,,2,18,18,,,,,,,,,,"from L.Walton: Dade, 2.13a-b; Zhizheng, 8.7b-8a; Yanyou, 14.25a-29b"
65,3451,1,1273,558,9,0,15,,,,,,,,,38277,11;34,"多个出處:中國古代書院發展史P11,34;宋代書院與宋代學術之關係P312;元代書院之地理分佈P375."
65,3596,1,1300,625,4,2,18,,,,,,,,,38282,51,"多个出處:中國古代的書院制度P51;中國書院制度考略P21."
66,127,2,,,,,,18,,,,,,,,9599,14179,"元代釋法喜113230居邠州大開元寺"
67,128,2,,,,,,18,,,,,,,,9599,14004,"元代釋大訢28415居大龍翔集慶寺"
68,129,2,,,,,,18,,,,,,,,9599,14105,"元代釋至明113160居四明大梅寺"
69,130,2,,,,,,18,,,,,,,,9599,14199,"元代釋海印113250居居鄒縣大明 禪院"
70,131,1,,,,,18,18,,,,,,,,,,"from L.Walton: Zhejiang tongzhi, 27.11a; Ningbo fu jianyao zhi, 2.5b"
71,132,1,,,,,18,18,,,,,,,,9599,6345,"from L.Walton: Wu Cheng, 20.25b-26a; 大明一統志 15.6a"
71,3392,1,1264,623,1,0,18,,,,,,,,,38278,333,"多个出處:宋代書院與宋代學術之關係P333;元代書院之地理分佈P404."
72,133,1,1280,,,-1,18,18,,,,,,,,9599,5168,"from L.Walton: SYXA 84.6a17; 73.13b15; 89.10a3; Jiangxi tongzhi, 82.2a-b"
72,3016,1,1119,538,1,2,15,,,,,,,,,38282,30,
72,3410,1,1268,558,4,2,15,,,,,,,,,38279,114;225,
72,3852,1,1314,628,1,0,18,,,,,,,,,38280,397,"多个出處:元代書院之地理分佈P397;中國古代的書院制度P51;中國書院制度考略P21."
73,134,1,,,,,18,18,,,,,,,,9599,9637,
73,3356,1,1242,554,2,0,15,,,,,,,,,38277,12;35,"多个出處:中國古代書院發展史P12,35;宋代書院與宋代學術之關係P310;江西古代書院研究P112,227."
74,135,2,,,,,,18,,,,,,,,9599,14009,"元代釋子安113067居大都大慶壽寺"
75,136,2,,,,,,18,,,,,,,,9599,14379,"元代釋覺慧113424居大天界寺"
75,137,2,,,,,,18,,,,,,,,9599,13998,"元代釋力金113058居南京大天界寺"
76,138,1,,,,,18,18,,,,,,,,,,"from L.Walton: Tianxia, 924-930"
76,3804,1,1216,608,9,2,17,,,,,,,,,38280,381,"多个出處:元代書院之地理分佈P381;中國古代的書院制度P51;中國書院制度考略P21;泉州古代書院P49,79."
77,139,3,,,,,,18,,,,,,,,9599,2598,"元代呂虛夷102593居居象山大瀛 海道院"
78,140,2,,,,,,18,,,,,,,,9599,14114,"元代釋行全113169居兗州布金山大雲寺"
78,141,2,0,0,0,0,0,20,,,,,,,,27842,145,"Temple ID 138405 Location: 縣北; Other: 一名冷泉寺"
78,142,2,0,0,0,0,0,20,,,,,,,,27842,146,"Temple ID 138406 Location: 黎城縣龍耳山"
78,143,2,400,0,0,2,0,20,,,,,,,,27842,146,"Temple ID 138407 Location: 泌水縣磕山; Founding: 元魏初; Other: 一名大云禅院，唐景福初今名"
78,144,2,0,0,0,0,0,20,,,,,,,,27842,146,"Temple ID 138408 Location: 嶧縣西北; Other: 唐天宝中永安寺，宋宣各中严公寺，金大定中今名"
78,145,2,0,0,0,0,0,20,,,,,,,,27842,146,"Temple ID 138409 Location: 府城南; Other: 明景泰中移建，有唐李邕大去禅院碑记"
78,146,2,0,0,0,0,0,20,,,,,,,,27842,146,"Temple ID 138410 Location: 州治西; Other: 旧名西严院元至正中今名"
78,147,2,940,0,0,2,0,20,,,,,,,,27842,146,"Temple ID 139565 Location: 麗水縣北; Founding: 五代"
78,148,2,800,0,0,2,0,20,,,,,,,,27842,146,"Temple ID 140557 Location: 馬平縣仙跡山; Founding: 唐代; Other: 山下有天宁寺（灵泉寺）"
79,149,2,,,,,,18,,,,,,,,9599,14155,"元代釋宗衍113207居嘉禾德藏寺"
80,150,1,1270,,,2,15,,,,,,,,,,,"from L.Walton: Ningbo fuzhi, 9.472"
81,151,2,,,,,,18,,,,,,,,9599,14064,"元代釋正印113119居澱山寺"
82,152,1,,,,,18,18,,,,,,,,9599,5660,"from L.Walton: Huang Jin, 7 shang: 265-266; He Menggui, 8.8b-10a; Fang Hui, 35.4b-5b."
83,153,1,,,,,18,18,,,,,,,,9599,10562,"from L.Walton: SYXA 84.6b11;supp.84.29a9; 大明一統志 51.6b; Jiangxi tongzhi 82.3a"
84,154,2,,,,,,18,,,,,,,,9599,14241,"元代釋處林113288居大慈山定慧禪寺"
85,155,2,,,,,,18,,,,,,,,9599,14323,"元代釋與恭113368居吳郡定惠寺"
86,156,2,,,,,,18,,,,,,,,9599,14152,"元代釋來復113205居慈溪之定水院"
86,157,2,,,,,,18,,,,,,,,9599,14133,"元代釋妙源53291居紹興定水院"
87,158,1,1315,,,,18,18,,,,,,,,,,"from L.Walton: Cheng Jufu, Cheng xuelou wenji (Yuandai zhenben NCL 1960 ed), 13.16b-17b"
88,159,1,,,,,18,18,,,,,,,,9599,8983,
89,160,1,,,,,18,18,,,,,,,,,,"from L.Walton: SYXA:supp.bie 3.23b3; 大明一統志 63.14a"
90,161,1,,,,,18,18,,,,,,,,9599,943,"from L.Walton: 大明一統志 49.9b"
90,162,1,,,,,18,18,,,,,,,,9599,16670,"from L.Walton: Zhizheng, 8.13a-b [inscription by Cheng Duanxue, Weizhai ji, 4.1a-2b, SMCS ed]; Dardess, Conf & Autocracy, p.40"
90,163,1,,,,,18,18,,,,,,,,,,"from L.Walton: 大明一統志 40.11b"
90,3017,1,1119,538,1,2,15,,,,,,,,,38282,30,
