c_person_id,c_db_id,c_db_sys_id
33408,1,10058
33409,1,10057
33465,1,11451
33481,1,9238
33487,2,1337
33498,1,9180
33500,1,5196
33515,1,9460
33544,1,5499
33552,2,1365
33556,1,1854
33558,1,9399
33558,3,4704
33562,1,6871
33566,2,839
33572,2,911
33574,1,9200
33587,2,2546
33588,2,2524
33589,2,2523
33590,2,2527
33592,2,2536
33594,2,2531
33606,2,892
33622,2,341
33625,2,356
33640,2,3722
33649,2,2189
33651,2,549
33685,2,2755
33705,2,1972
33710,1,6306
33726,2,1976
33753,2,1965
33754,2,542
33770,1,9061
33843,1,13064
33845,1,3960
33847,2,495
33848,1,105
33851,1,1260
33859,2,1961
33862,1,11408
33864,1,11590
33867,1,10235
33878,1,9086
33879,1,9082
33883,1,3179
33884,1,9954
33892,1,7650
33900,1,9342
33903,1,9240
33904,1,9243
33906,1,3806
33906,3,446
33908,1,9335
33917,1,9149
33919,1,11227
33920,1,11129
33922,1,56
33923,1,81
34013,1,1647
34133,1,2271
34134,1,2259
34136,1,9320
34137,1,12699
34138,1,21
34139,1,9449
34161,1,9493
34172,1,9491
34174,1,9489
34175,1,9495
34176,1,9490
34177,1,9503
34178,1,9496
34183,1,9284
34186,1,9053
34189,1,8150
34190,1,9165
34191,1,33
34196,1,8158
34196,3,4581
34197,1,9931
34215,1,5206
34219,1,12075
34220,1,12076
34223,1,8476
34226,1,9360
34232,1,8959
34233,1,13135
34234,1,9049
34241,1,122
34242,1,7951
34246,1,9461
34252,1,8622
34258,1,12178
34259,1,12117
34271,1,9410
34323,1,6567
34342,1,9391
34344,1,58
34345,1,1670
34348,1,1671
34350,1,666
34415,1,10029
34419,1,9789
34420,1,9964
34421,1,9971
34447,1,10174
34448,1,10157
34451,1,10155
34461,1,9790
34469,1,10296
34471,1,10312
34478,1,10354
34479,1,10314
34482,1,10302
34491,1,10243
34493,1,11172
34501,1,10641
34502,1,10642
34503,1,10643
34504,1,11187
34505,1,11207
34508,1,11049
34510,1,11420
34511,1,11220
34513,1,11226
34515,1,10407
34516,1,11416
34517,1,11345
34520,1,11452
34522,1,11415
34531,1,11289
34532,1,11309
34534,1,11322
34576,1,11494
34579,1,11510
34596,1,11467
34599,1,11707
34600,1,11360
34604,1,10879
34608,1,11228
34612,1,11943
34613,1,11944
34623,1,11471
34627,1,11975
34637,1,11896
34650,1,11375
34652,1,11978
34653,1,11979
34655,1,11716
34657,1,11705
34660,1,12172
34663,1,11933
34686,1,12671
34696,1,12097
34701,1,12067
34704,1,12145
34705,1,12122
34711,1,11973
34713,1,12182
34715,1,12043
34716,1,12187
34748,1,9186
34752,1,2958
34753,1,3508
34785,1,210
