c_inst_name_code,c_inst_name_hz,c_inst_name_py
244,"藕澤書院","Ouze shuyuan"
245,"盤阿書院","Pana shuyuan"
246,"盤龍寺",Panlongsi
247,"平湖書院","Pinghu shuyuan"
248,"平江書院","Pingjiang shuyuan"
249,"鄱江書院","Pojiang shuyuan"
250,"鄱陽書院","Poyang shuyuan"
251,"普安寺",Puansi
252,"普濟寺",Pujisi
253,"普明寺",Pumingsi
254,"普寧寺",Puningsi
255,"普慶寺",Puqingsi
256,"朴山書院","Pushan shuyuan"
257,"普向院",Puxiangyuan
258,"普照寺",Puzhaosi
259,"喬江書院","Qiaojiang shuyuan"
260,"巧江書院","Qiaojiang shuyuan"
261,"樵溪書院","Qiaoxi shuyuan"
262,"琴道書院","Qindao shuyuan"
263,"情節書院","Qingjie shuyuan"
264,"清涼寺",Qingliangsi
265,"慶壽寺",Qingshousi
266,"青田書院","Qingtian shuyuan"
267,"青溪書院","Qingxi shuyuan"
268,"清獻書院","Qingxian shuyuan"
269,"清湘書院","Qingxiang shuyuan"
270,"清忠書院","Qingzhong shuyuan"
271,"慶洲書院","Qingzhou shuyuan"
272,"齊山書院","Qishan shuyuan"
273,"磧沙寺",Qishasi
274,"棲隱寺",Qiyinsi
275,"棲真教寺",Qizhenjiaosi
276,"泉山書院","Quanshan shuyuan"
277,"柔川書院","Rouchuan shuyuan"
278,"瑞光寺",Ruiguangsi
279,"三茅書院","Sanmao shuyuan"
280,"三山書院","Sanshan shuyuan"
281,"三聖院",Sanshengyuan
282,"三塔景德寺",Santajingdesi
283,"上蔡書院","Shangcai shuyuan"
284,"上天竺寺",Shangtianzhusi
285,"上雲峯寺",Shangyunfengsi
286,"善眾寺",Shanzhongsi
287,"邵庵書院","Shao'An shuyuan"
288,"聖安寺",Shengansi
289,"聖果寺",Shengguosi
290,"聖壽寺",Shengshousi
291,"石洞書院","Shidong shuyuan"
292,"石佛寺",Shifosi
293,"石鼓書院","Shigu shuyuan"
294,"石林書院","Shilin shuyuan"
295,"石鹿書院","Shilu shuyuan"
296,"石門書院","Shimen shuyuan"
297,"石門洞書院","Shimendong shuyuan"
298,"石丘書院","Shiqiu shuyuan"
299,"師山書院","Shishan shuyuan"
300,"石室書院","Shishi shuyuan"
301,"石峽書院","Shixia shuyuan"
302,"獅子院",Shiziyuan
303,"壽光寺",Shouguangsi
304,"壽聖寺",Shoushengsi
305,"首陽書院","Shouyang shuyuan"
306,"雙峰書院","Shuangfeng shuyuan"
307,"雙塔寺",Shuangtasi
308,"雙溪書院","Shuangxi shuyuan"
309,"雙谿書院","Shuangxi shuyuan"
310,"水西寺",Shuixisi
311,"殊勝寺",Shushengsi
312,"嵩高書院","Songgao shuyuan"
313,"太極書院","Taiji shuyuan"
314,"太平興國寺",Taipingxingguosi
315,"太行書院","Taixing shuyuan"
316,"潭州喬江","Tanzhouqiaojiang shuyuan"
317,"陶山修竹書院","Taoshanxiuzhu shuyuan"
318,"桃源書院","Taoyuan shuyuan"
319,"天寶宮",Tianbaogong
320,"天長書院","Tianchang shuyuan"
321,"天華寺",Tianhuasi
322,"天界寺",Tianjiesi
323,"天曆永祚寺",Tianliyongzuosi
324,"天門書院","Tianmen shuyuan"
325,"天寧禪寺",Tianningchansi
326,"天寧寺",Tianningsi
327,"天慶寺",Tianqingsi
328,"天童寺",Tiantongsi
329,"天章寺",Tianzhangsi
330,"桐江書院","Tongjiang shuyuan"
331,"萬安禪院",Wananchanyuan
332,"万壽寺",Wanshousi
333,"萬壽寺",Wanshousi
334,"峗山書院","Weishan shuyuan"
335,"文定書院","Wending shuyuan"
336,"文公/龍津書院","Wengong shuyuan"
337,"翁洲書院","Wengzhou shuyuan"
338,"文靖書院","Wenjing shuyuan"
339,"文殊寺",Wenshusi
340,"文學書院","Wenxue shuyuan"
341,"文正書院","Wenzheng shuyuan"
342,"武城書院","Wucheng shuyuan"
343,"烏囘寺",Wuhuisi
344,"浯溪書院","Wuxi shuyuan"
345,"武夷書院","Wuyi shuyuan"
346,"顯慈集慶教寺",Xiancijiqingjiaosi
347,"顯道書院","Xiandao shuyuan"
348,"祥符寺",Xiangfusi
349,"象山書院","Xiangshan shuyuan"
350,"仙林寺",Xianlinsi
351,"先賢書院","Xianxian shuyuan"
352,"顯嚴教寺",Xianyanjiaosi
353,"孝思禪院",Xiaosichanyuan
354,"西禪寺",Xichansi
355,"西湖書院","Xihu shuyuan"
356,"西澗書院","Xijian shuyuan"
357,"興福寺",Xingfusi
358,"興教禪寺",Xingjiaochansi
359,"興龍禪寺",Xinglongchansi
360,"西山書院","Xishan shuyuan"
361,"修禪寺",Xiuchansi
362,"西巖書院","Xiyan shuyuan"
363,"西隱寺",Xiyinsi
364,"宣成書院","Xuancheng shuyuan"
365,"宣公書院","Xuangong shuyuan"
366,"玄元道院","Xuanyuan daoyuan"
367,"學道書院","Xuedao shuyuan"
368,"雪竇寺",Xuedousi
369,"學古書院","Xuegu shuyuan"
370,"雪江書院","Xuejiang shuyuan"
371,"雪齋書院","Xuezhai shuyuan"
372,"旴江書院","Xujiang shuyuan"
373,"延昌寺",Yanchangsi
374,"陽豐書院","Yangfeng shuyuan"
375,"延慶寺",Yanqingsi
376,"延壽寺",Yanshousi
377,"耶律文正書院","Yeluwenzheng shuyuan"
378,"伊川書院","Yichuan shuyuan"
379,"穎昌書院","Yingchang shuyuan"
380,"鄞江書院","Yinjiang shuyuan"
381,"倚山書院","Yishan shuyuan"
382,"義善寺",Yishansi
383,"甬東書院","Yongdong shuyuan"
384,"永懷報德寺",Yonghuaibaodesi
385,"永嘉書院","Yongjia shuyuan"
386,"永明尼寺",Yongmingnisi
387,"湧泉寺",Yongquansi
388,"永祚寺",Yongzuosi
389,"祐國寺",Youguosi
390,"源池書院","Yuanchi shuyuan"
391,"圓覺寺",Yuanjiaosi
392,"玉案山寺",Yuanshansi
393,"圓通寺",Yuantongsi
394,"沅陽書院","Yuanyang shuyuan"
395,"岳林寺",Yuelinsi
396,"嶽麓書院","Yuelu shuyuan"
397,"月泉書院","Yuequan shuyuan"
398,"雲峯寺",Yunfengsi
399,"雲居庵",Yunjuan
400,"雲巖書院","Yunyan shuyuan"
401,"雲莊書院","Yunzhuang shuyuan"
402,"玉泉山寺",Yuquanshansi
403,"育王廣利禪寺",Yuwangguanglichansi
404,"澤山書院","Zeshan shuyuan"
405,"章教寺",Zhangjiaosi
406,"張岩書院","Zhangyan shuyuan"
407,"樟隱書院","Zhangyin shuyuan"
408,"湛廬書院","Zhanlu shuyuan"
409,"昭慶寺",Zhaoqingsi
410,"正德書院","Zhengde shuyuan"
411,"鄭山書院","Zhengshan shuyuan"
412,"真如寺",Zhenrusi
413,"貞文書院","Zhenwen shuyuan"
414,"柘澤寺",Zhezesi
415,"智門寺",Zhimensi
416,"治平寺",Zhipingsi
417,"至元寺",Zhiyuansi
418,"智者禪寺",Zhizhechansi
419,"智者寺",Zhizhesi
420,"中和書院","Zhonghe shuyuan"
421,"中山書院","Zhongshan shuyuan"
422,"主一書院","Zhuyi shuyuan"
423,"資福寺",Zifusi
424,"資聖寺",Zishengsi
425,"資壽寺",Zishousi
426,"紫薇書院","Ziwei shuyuan"
427,"紫巖書院","Ziyan shuyuan"
428,"紫陽書院","Ziyang shuyuan"
429,"紫雲寺",Ziyunsi
430,"宗晦書院","Zonghui shuyuan"
431,"宗濂書院","Zonglian shuyuan"
432,"宗文書院","Zongwen shuyuan"
433,"凌雲寺","Lingyun Si"
434,"凝壽寺","Ningshou Si"
435,"列峰寺","Liefeng Si"
436,"功德寺","Gongde Si"
437,"包山寺","Baoshan Si"
438,"化城寺","Huacheng Si"
439,"化度寺","Huadu Si"
440,"化樂寺","Huale Si"
441,"北台寺","Beitai Si"
442,"北塔寺","Beita Si"
443,"北山寺","Beishan Si"
444,"北岩寺","Beiyan Si"
445,"北景德寺","Beijingde Si"
446,"北泉寺","Beiquan Si"
447,"北蘭寺","Beilan Si"
448,"匡教寺","Kuanjiao Si"
449,"匯宗寺","Huizong Si"
450,"千佛寺","Qianfo Si"
451,"千峰寺","Qianfeng Si"
452,"千相寺","Qianxiang Si"
453,"千福寺","Qianfu Si"
454,"半山寺","Banshan Si"
455,"南塔院","Nanta Yuan"
456,"南壽寺","Nanshou Si"
457,"南山寺","Nanshan Si"
458,"南峰寺","Nanfeng Si"
459,"南明寺","Nanming Si"
460,"南汰寺","Nantai Si"
461,"南泉寺","Nanquan Si"
462,"南湖寺","Nanhu Si"
463,"南源寺","Nanyuan Si"
464,"南禪顯聖寺","Nanchanxiansheng Si"
465,"南竺壽寺","Nanzhushou Si"
466,"南華寺","Nanhua Si"
467,"博山寺","Boshan Si"
468,"博石庵","Boshi Si"
469,"即心庵","Jixin An"
470,"厚田寺","Houtian Si"
471,"可野寺","Keye Si"
472,"台頭寺","Taitou Si"
473,"台鹿寺","Tailu Si"
474,"合符寺","Hefu Si"
475,"吉祥寺","Jixiang Si"
476,"吉祥庵","Jixiang An"
477,"吉祥院","Jixiang Yuan"
478,"同天寺","Tongtian Si"
479,"同慶寺","Tongqing Si"
