c_inst_name_code,c_inst_code,c_inst_code_new,c_new_new_code
432,26,1,868
433,140052,1,869
434,139400,1,870
435,140429,1,871
436,138307,1,872
437,138308,1,873
438,138309,1,874
438,138310,2,875
438,138311,3,876
439,139424,1,877
440,140176,1,878
441,139722,1,879
442,139877,1,880
442,140490,2,881
443,138312,1,882
443,140495,2,883
444,140085,1,884
445,139640,1,885
446,138313,1,886
447,139585,1,887
448,138315,1,888
449,140533,1,889
450,138316,1,890
450,138317,2,891
451,138318,1,892
452,138319,1,893
453,138320,1,894
454,138321,1,895
455,140174,1,896
456,140020,1,897
457,138332,1,898
458,138333,1,899
458,140015,2,900
458,140524,3,901
459,140513,1,902
460,138334,1,903
461,138335,1,904
461,138336,2,905
461,140504,3,906
462,138337,1,907
463,138338,1,908
464,139550,1,909
465,138340,1,910
466,140198,1,911
467,139600,1,912
468,139967,1,913
469,140510,1,914
470,139940,1,915
471,138349,1,916
472,138350,1,917
473,138351,1,918
474,139999,1,919
475,138352,1,920
475,138353,2,921
475,138354,3,922
475,139707,4,923
475,139755,5,924
475,140455,6,925
476,140340,1,926
477,139661,1,927
478,139929,1,928
479,139860,1,929
480,138355,1,930
481,138356,1,931
482,139880,1,932
483,140122,1,933
484,138357,1,934
485,139796,1,935
486,140110,1,936
487,138358,1,937
487,140026,2,938
488,139766,1,939
489,139821,1,940
490,139859,1,941
491,140537,1,942
492,140194,1,943
492,140442,2,944
493,138359,1,945
494,138360,1,946
494,140534,2,947
495,138361,1,948
496,140069,1,949
497,138363,1,950
498,138364,1,951
499,138365,1,952
500,140319,1,953
501,138362,1,954
502,139998,1,955
502,140046,2,956
503,139690,1,957
504,139398,1,958
504,139987,2,959
505,138366,1,960
506,140538,1,961
507,139741,1,962
508,140285,1,963
509,138367,1,964
509,138368,2,965
509,138369,3,966
510,140269,1,967
510,140431,2,968
510,140482,3,969
510,140491,4,970
510,140502,5,971
511,139533,1,972
512,138371,1,973
513,138372,1,974
514,138373,1,975
515,138374,1,976
515,139423,2,977
516,138370,1,978
517,138393,1,979
518,138394,1,980
519,138395,1,981
520,138396,1,982
521,138397,1,983
522,138595,1,984
523,138779,1,985
524,139750,1,986
525,138398,1,987
526,138399,1,988
527,140342,1,989
528,138586,1,990
529,138584,1,991
529,138585,2,992
529,139534,3,993
529,139840,4,994
529,140267,5,995
530,138587,1,996
530,139382,2,997
531,139572,1,998
531,139626,2,999
531,140018,3,1000
532,139433,1,1001
533,138588,1,1002
533,138589,2,1003
534,138583,1,1004
535,139684,1,1005
536,139798,1,1006
536,139988,2,1007
537,138590,1,1008
538,138400,1,1009
539,140264,1,1010
540,139762,1,1011
541,138401,1,1012
542,139536,1,1013
543,139694,1,1014
544,139513,1,1015
545,138402,1,1016
546,138403,1,1017
546,138404,2,1018
546,139685,3,1019
547,139856,1,1020
548,138412,1,1021
548,138413,2,1022
548,139444,3,1023
548,140050,4,1024
548,140232,5,1025
548,140511,6,1026
549,140003,1,1027
550,138414,1,1028
551,138416,1,1029
552,138417,1,1030
553,138418,1,1031
554,138419,1,1032
555,138420,1,1033
555,138421,2,1034
555,139512,3,1035
556,140119,1,1036
557,138439,1,1037
558,138440,1,1038
559,140522,1,1039
560,138426,1,1040
560,138427,2,1041
560,139578,3,1042
560,139763,4,1043
560,140427,5,1044
561,138428,1,1045
562,138424,1,1046
562,138425,2,1047
563,139511,1,1048
564,138429,1,1049
564,138430,2,1050
564,139716,3,1051
564,139936,4,1052
564,139954,5,1053
564,140171,6,1054
564,140443,7,1055
565,138431,1,1056
566,138432,1,1057
567,140527,1,1058
568,138434,1,1059
569,140041,1,1060
569,140090,2,1061
570,138435,1,1062
571,138436,1,1063
572,138437,1,1064
572,139980,2,1065
573,138438,1,1066
574,140132,1,1067
575,138441,1,1068
575,138442,2,1069
575,140030,3,1070
576,138443,1,1071
577,139609,1,1072
578,139835,1,1073
579,139935,1,1074
580,138444,1,1075
581,138445,1,1076
582,140172,1,1077
583,138422,1,1078
583,138423,2,1079
583,140014,3,1080
584,140409,1,1081
585,138415,1,1082
586,140320,1,1083
587,139747,1,1084
588,138446,1,1085
588,138447,2,1086
588,138448,3,1087
588,138449,4,1088
588,138450,5,1089
588,138451,6,1090
588,138452,7,1091
588,140019,8,1092
588,140029,9,1093
588,140256,10,1094
589,138453,1,1095
589,139764,2,1096
589,140184,3,1097
590,138454,1,1098
591,140196,1,1099
592,139480,1,1100
593,139514,1,1101
594,138411,1,1102
595,140488,1,1103
596,140512,1,1104
597,139617,1,1105
598,140144,1,1106
599,138480,1,1107
600,138477,1,1108
600,138478,2,1109
600,138479,3,1110
601,140134,1,1111
602,138457,1,1112
602,138458,2,1113
602,138459,3,1114
602,139470,4,1115
602,139635,5,1116
603,140332,1,1117
604,139494,1,1118
605,138481,1,1119
606,140368,1,1120
607,138483,1,1121
608,139928,1,1122
609,138455,1,1123
610,138484,1,1124
610,138485,2,1125
610,138486,3,1126
610,139599,4,1127
610,140043,5,1128
611,139896,1,1129
612,139809,1,1130
613,139447,1,1131
614,138456,1,1132
614,139481,2,1133
615,139517,1,1134
616,139448,1,1135
617,138488,1,1136
618,138489,1,1137
619,138490,1,1138
619,138491,2,1139
620,138499,1,1140
621,138492,1,1141
621,138493,2,1142
621,138494,3,1143
621,138495,4,1144
621,138496,5,1145
621,138497,6,1146
621,138498,7,1147
621,139629,8,1148
621,139669,9,1149
621,139678,10,1150
621,139732,11,1151
621,139906,12,1152
621,140133,13,1153
622,140291,1,1154
623,139748,1,1155
624,138500,1,1156
625,138501,1,1157
626,138503,1,1158
627,138504,1,1159
627,138505,2,1160
628,138502,1,1161
629,140257,1,1162
630,140364,1,1163
631,138507,1,1164
632,138508,1,1165
632,140112,2,1166
633,138510,1,1167
634,138509,1,1168
635,138506,1,1169
636,139687,1,1170
637,140395,1,1171
638,138511,1,1172
638,138512,2,1173
639,139788,1,1174
640,140007,1,1175
641,138513,1,1176
642,138514,1,1177
643,138515,1,1178
644,138516,1,1179
645,140496,1,1180
646,138517,1,1181
647,138522,1,1182
647,138523,2,1183
647,138524,3,1184
647,138525,4,1185
647,139418,5,1186
647,139737,6,1187
647,140148,7,1188
647,140552,8,1189
648,138526,1,1190
648,140053,2,1191
649,139587,1,1192
650,138527,1,1193
651,138528,1,1194
652,139491,1,1195
653,140348,1,1196
654,138529,1,1197
655,138530,1,1198
656,138531,1,1199
657,140289,1,1200
658,140057,1,1201
659,138532,1,1202
660,138533,1,1203
660,139749,2,1204
661,138534,1,1205
661,138535,2,1206
661,138536,3,1207
661,139994,4,1208
662,138537,1,1209
662,138538,2,1210
