c_office_id,c_office_type_id,c_office_tree_id,c_office_type_type_code,c_office_l1,c_office_l2,c_office_l3,c_office_l4,c_office_l5
61988,,1899,18,,,,,
61989,0,18,18,0,0,0,0,0
61989,,1899,18,,,,,
61990,0,18,18,0,0,0,0,0
61990,,1899,18,,,,,
61991,0,18,18,0,0,0,0,0
61991,,1899,18,,,,,
61992,0,18,18,0,0,0,0,0
61992,,1899,18,,,,,
61993,0,18,18,0,0,0,0,0
61993,,1899,18,,,,,
61994,0,18,18,0,0,0,0,0
61994,,1899,18,,,,,
61995,0,18,18,0,0,0,0,0
61995,,1899,18,,,,,
61996,0,18,18,0,0,0,0,0
61996,,1899,18,,,,,
61997,0,18,18,0,0,0,0,0
61997,,1899,18,,,,,
61998,0,18,18,0,0,0,0,0
61998,,1899,18,,,,,
61999,0,18,18,0,0,0,0,0
61999,,1899,18,,,,,
62000,0,18,18,0,0,0,0,0
62000,,1899,18,,,,,
62001,0,18,18,0,0,0,0,0
62001,,1899,18,,,,,
62002,0,18,18,0,0,0,0,0
62002,,1899,18,,,,,
62003,0,18,18,0,0,0,0,0
62003,,1899,18,,,,,
62004,0,18,18,0,0,0,0,0
62004,,1899,18,,,,,
62005,0,18,18,0,0,0,0,0
62005,,1899,18,,,,,
62006,0,18,18,0,0,0,0,0
62006,,1899,18,,,,,
62007,0,18,18,0,0,0,0,0
62007,,1899,18,,,,,
62008,0,18,18,0,0,0,0,0
62008,,1899,18,,,,,
62009,0,18,18,0,0,0,0,0
62009,,1899,18,,,,,
62010,0,18,18,0,0,0,0,0
62010,,1899,18,,,,,
62011,0,18,18,0,0,0,0,0
62011,,1899,18,,,,,
62012,0,18,18,0,0,0,0,0
62012,,1899,18,,,,,
62013,0,18,18,0,0,0,0,0
62013,,1899,18,,,,,
62014,0,18,18,0,0,0,0,0
62014,,1899,18,,,,,
62015,0,18,18,0,0,0,0,0
62015,,1899,18,,,,,
62016,0,18,18,0,0,0,0,0
62016,,1899,18,,,,,
62017,0,18,18,0,0,0,0,0
62017,,1899,18,,,,,
62018,0,18,18,0,0,0,0,0
62018,,1899,18,,,,,
62019,0,18,18,0,0,0,0,0
62019,,1899,18,,,,,
62020,0,18,18,0,0,0,0,0
62020,,1899,18,,,,,
62021,0,18,18,0,0,0,0,0
62021,,1899,18,,,,,
62022,0,18,18,0,0,0,0,0
62022,,1899,18,,,,,
62023,0,18,18,0,0,0,0,0
62023,,1899,18,,,,,
62024,0,18,18,0,0,0,0,0
62024,,1899,18,,,,,
62025,0,18,18,0,0,0,0,0
62025,,1899,18,,,,,
62026,0,18,18,0,0,0,0,0
62026,,1899,18,,,,,
62027,0,18,18,0,0,0,0,0
62027,,1899,18,,,,,
62028,0,18,18,0,0,0,0,0
62028,,1899,18,,,,,
62029,0,18,18,0,0,0,0,0
62029,,1899,18,,,,,
62030,0,18,18,0,0,0,0,0
62030,,1899,18,,,,,
62031,0,18,18,0,0,0,0,0
62031,,1899,18,,,,,
62032,0,18,18,0,0,0,0,0
62032,,1899,18,,,,,
62033,0,18,18,0,0,0,0,0
62033,,1899,18,,,,,
62034,0,18,18,0,0,0,0,0
62034,,1899,18,,,,,
62035,0,18,18,0,0,0,0,0
62035,,1899,18,,,,,
62036,0,18,18,0,0,0,0,0
62036,,1899,18,,,,,
62037,0,18,18,0,0,0,0,0
62037,,1899,18,,,,,
62038,0,18,18,0,0,0,0,0
62038,,1899,18,,,,,
62039,0,18,18,0,0,0,0,0
62039,,1899,18,,,,,
62040,0,18,18,0,0,0,0,0
62040,,1899,18,,,,,
62041,0,18,18,0,0,0,0,0
62041,,1899,18,,,,,
62042,0,18,18,0,0,0,0,0
62042,,1899,18,,,,,
62043,0,18,18,0,0,0,0,0
62043,,1899,18,,,,,
62044,0,18,18,0,0,0,0,0
62044,,1899,18,,,,,
62045,0,18,18,0,0,0,0,0
62045,,1899,18,,,,,
62046,0,18,18,0,0,0,0,0
62046,,1899,18,,,,,
62047,0,18,18,0,0,0,0,0
62047,,1899,18,,,,,
62048,0,18,18,0,0,0,0,0
62048,,1899,18,,,,,
62049,0,18,18,0,0,0,0,0
62049,,1899,18,,,,,
62050,0,18,18,0,0,0,0,0
62050,,1899,18,,,,,
62051,0,18,18,0,0,0,0,0
62051,,1899,18,,,,,
62052,0,18,18,0,0,0,0,0
62052,,1899,18,,,,,
62053,0,18,18,0,0,0,0,0
62053,,1899,18,,,,,
62054,0,18,18,0,0,0,0,0
62054,,1899,18,,,,,
62055,0,18,18,0,0,0,0,0
62055,,1899,18,,,,,
62056,0,18,18,0,0,0,0,0
62056,,1899,18,,,,,
62057,0,18,18,0,0,0,0,0
62057,,1899,18,,,,,
62058,0,18,18,0,0,0,0,0
62058,,1899,18,,,,,
62059,0,18,18,0,0,0,0,0
62059,,1899,18,,,,,
62060,0,18,18,0,0,0,0,0
62060,,1899,18,,,,,
62061,0,18,18,0,0,0,0,0
62061,,1899,18,,,,,
62062,0,18,18,0,0,0,0,0
62062,,1899,18,,,,,
62063,0,18,18,0,0,0,0,0
62063,,1899,18,,,,,
62064,0,18,18,0,0,0,0,0
62064,,1899,18,,,,,
62065,0,18,18,0,0,0,0,0
62065,,1899,18,,,,,
62066,0,18,18,0,0,0,0,0
62066,,1899,18,,,,,
62067,0,18,18,0,0,0,0,0
62067,,1899,18,,,,,
62068,0,18,18,0,0,0,0,0
62068,,1899,18,,,,,
62069,0,18,18,0,0,0,0,0
62069,,1899,18,,,,,
62070,0,18,18,0,0,0,0,0
62070,,1899,18,,,,,
62071,0,18,18,0,0,0,0,0
62071,,1899,18,,,,,
62072,0,18,18,0,0,0,0,0
62072,,1899,18,,,,,
62073,0,18,18,0,0,0,0,0
62073,,1899,18,,,,,
62074,0,18,18,0,0,0,0,0
62074,,1899,18,,,,,
62075,0,18,18,0,0,0,0,0
62075,,1803040649,18,,,,,
62076,0,18,18,0,0,0,0,0
62076,,1803040649,18,,,,,
