c_personid,c_inst_name_code,c_inst_code,c_bi_role_code,c_bi_begin_year,c_bi_by_nh_code,c_bi_by_nh_year,c_bi_by_range,c_bi_end_year,c_bi_ey_nh_code,c_bi_ey_nh_year,c_bi_ey_range,c_source,c_pages,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date
113350,357,787,20,,,,,,,,,9599,14305,"元代釋道恢113350居杭州上竺興福寺",,,,
113350,375,816,20,,,,,,,,,9599,14305,"元代釋道恢113350居松江延慶寺",,,,
113352,326,690,20,,,,,,,,,9599,14307,"元代釋道高113352居海鹽之天寧寺",,,,
113353,384,833,20,,,,,,,,,9599,14308,"元代釋道望113353居崑山永懷報德寺",,,,
113354,419,891,20,,,,,,,,,9599,14309,"元代釋道勤113354居智者寺",,,,
113355,354,781,20,,,,,,,,,9599,14310,"元代釋道暉113355居福州西禪寺",,,,
113358,158,270,20,,,,,,,,,9599,14313,"元代釋壽寧113358居上海靜安寺; Temple ID 139310 Location: 上海縣滬瀆上; Other: 旧重丹寺，宋大中祥符中今名",,,,
113362,5,6,20,,,,,,,,,9599,14317,"元代釋福海113362居泰山安靈寺",,,,
113363,415,880,20,,,,,,,,,9599,14318,"元代釋福報113363居四明智門寺",,,,
113366,326,688,20,,,,,,,,,9599,14321,"元代釋福演113366居彰德路天寧寺",,,,
113366,417,888,20,,,,,,,,,9599,14321,"元代釋福演113366居上都至元寺",,,,
113368,85,155,20,,,,,,,,,9599,14323,"元代釋與恭113368居吳郡定惠寺",,,,
113368,179,308,20,,,,,,,,,9599,14323,"元代釋與恭113368居餘姚九功寺",,,,
113370,424,904,20,,,,,,,,,9599,14325,"元代釋輔良113370居嘉興資聖寺",,,,
113373,168,294,20,,,,,,,,,9599,14328,"元代釋廣恩113373居臨清淨土寺",,,,
113373,182,313,20,,,,,,,,,9599,14328,"元代釋廣恩113373居居邢州開元 寺",,,,
113374,175,302,20,,,,,,,,,9599,14329,"元代釋廣裕113374居翼城金仙寺; Location: 翼城縣東門外澮水; Founding: 宋代; Other: Temple ID 139261 元延祐中移至同颖坊; Temple ID 139261 Location: 翼城縣東門外澮水; Founding: 宋代; Other: 元延祐中移至同颖坊",,,,
113377,162,275,20,,,,,,,,,9599,14332,"元代釋廣鑄113377居當陽景德寺",,,,
113378,121,202,20,,,,,,,,,9599,14333,"元代釋德昻113378居義烏廣愛寺",,,,
113379,414,879,20,,,,,,,,,9599,14334,"元代釋德林113379居上海柘澤寺",,,,
113384,47,84,20,,,,,,,,,9599,14339,"元代釋德謙113384居大都崇恩寺",,,,
113387,290,620,20,,,,,,,,,9599,14342,"元代釋德馨113387居伏龍山聖壽寺",,,,
113389,391,840,20,,,,,,,,,9599,14344,"元代釋慧日113389居海寧圓覺寺",,,,
113390,165,287,20,,,,,,,,,9599,14345,"元代釋慧定113390居淨 居寺",,,,
113391,145,240,20,,,,,,,,,9599,14346,"元代釋慧明113391居大同華嚴寺",,,,
113393,402,862,20,,,,,,,,,9599,14348,"元代釋慧珍113393居當陽玉泉山寺",,,,
113395,321,680,20,,,,,,,,,9599,14350,"元代釋慧朗113395居杭州天華寺",,,,
113397,27,56,20,,,,,,,,,9599,14352,"元代釋慧曇113397居集慶保寧寺",,,,
113399,149,256,20,,,,,,,,,9599,14354,"元代釋盤谷113399居杭州慧因寺",,,,
113400,235,450,20,,,,,,,,,9599,14355,"元代釋曇塤113400居嘉定南禪寺",,,,
113407,62,123,20,,,,,,,,,9599,14362,"元代釋餘澤113407居吳之大弘教寺",,,,
113410,64,125,20,,,,,,,,,9599,14365,"元代釋膽巴113410居大護國仁王寺",,,,
113411,177,305,20,,,,,,,,,9599,14366,"元代釋懷信113411居金陵集慶寺",,,,
113411,323,684,20,,,,,,,,,9599,14366,"元代釋懷信113411居中天竺之天曆永祚寺",,,,
113412,11,12,20,,,,,,,,,9599,14367,"元代釋懷則113412居天台白蓮寺",,,,
113417,251,483,20,,,,,,,,,9599,14372,"元代釋寶嚴113417居玉山普安寺",,,,
113418,425,909,20,,,,,,,,,9599,14373,"元代釋繼聰113418居臨川資壽寺",,,,
113419,409,869,20,,,,,,,,,9599,14374,"元代釋覺岸113419居松江余山昭慶寺",,,,
113420,303,652,20,,,,,,,,,9599,14375,"元代釋覺明113420居奉元路壽光寺",,,,
113422,194,366,20,,,,,,,,,9599,14377,"元代釋覺達113422居長清縣靈巖寺",,,,
113424,28,58,20,,,,,,,,,9599,14379,"元代釋覺慧113424居寶寧寺",,,,
113424,75,136,20,,,,,,,,,9599,14379,"元代釋覺慧113424居大天界寺",,,,
113425,48,86,20,,,,,,,,,9599,14380,"元代釋顯示113425居崇恩演福教寺",,,,
113425,211,409,20,,,,,,,,,9599,14380,"元代釋顯示113425居隆壽教寺",,,,
113425,352,779,20,,,,,,,,,9599,14380,"元代釋顯示113425居雷峯顯嚴教寺",,,,
113430,229,444,20,,,,,,,,,9599,14385,"元代釋舍藍藍113430居居大都妙善 寺",,,,
113432,265,590,20,,,,,,,,,9599,14387,"元代釋達益巴113432居大都慶壽寺",,,,
113434,288,616,20,,,,,,,,,9599,14389,"元代釋公歌藏卜113434居杭州聖安寺",,,,
113438,122,203,20,,,,,,,,,9599,14393,"元代釋必蘭納識里113438居大都廣寒院",,,,
113503,319,678,20,,,,,,,,,9599,14465,"元代酈希誠113503居居燕城天寶 宮",,,,
386554,233,448,19,,18,,,,,,,,,"出處：全元文，第30冊 P386-389。",load,20170419,,
