c_place_id,c_place_1990,c_name,c_name_chn,x_coord,y_coord
141.0,211226,Faku,"法庫",123.26787,42.3738
142.0,210401,"Fushun Shixiaqu","撫順市轄區",123.90415,41.86911
143.0,210421,Fushun,"撫順",124.09804,41.74403
144.0,210422,"Xinbin Manzu Zizhixian","新賓滿族自治縣",124.8733,41.59168
145.0,210821,Yingkou,"營口",122.56409,40.6085
146.0,210225,Zhuanghe,"莊河",123.02257,39.81
147.0,210522,"Huanren Manzu Zizhixian","桓仁滿族自治縣",125.26968,41.21277
148.0,210622,"Xiuyan Manzu Zizhixian","岫巖滿族自治縣",123.33296,40.27077
149.0,210623,Donggou,"東溝",123.89739,39.97722
150.0,210222,Xinjin,"新金",122.246,39.62768
151.0,210281,"Wafangdian Shi","瓦房店市",121.77475,39.69542
152.0,210201,"Dalian Shixiaqu","大連市轄區",121.71077,39.03803
153.0,210213,"Jinzhou Shi","金州市",0.0,0.0
154.0,210224,Changhai,"長海",122.60465,39.26678
155.0,210601,"Dandong Shixiaqu","丹東市轄區",124.43743,40.18686
156.0,210621,"Fengcheng Manzu Zizhixian","鳳城滿族自治縣",124.05474,40.56259
157.0,210624,"Kuandian Manzu Zizhixian","寬甸滿族自治縣",125.04972,40.70445
158.0,220401,"Liaoyuan Shixiaqu","遼源市轄區",125.16948,42.87336
159.0,220421,Dongfeng,"東豐",125.66383,42.7443
160.0,220422,Dongliao,"東遼",125.39614,42.89933
161.0,220501,"Tonghua Shixiaqu","通化市轄區",126.14435,41.5589
162.0,220521,Tonghua,"通化",125.8159,41.70228
163.0,220523,Huinan,"輝南",126.39959,42.5062
164.0,220524,Liuhe,"柳河",125.95572,42.18776
165.0,220581,"Meihekou Shi","梅河口市",125.88479,42.54867
166.0,220582,Ji`an,"集安",126.08254,41.1996
167.0,220601,"Hunjiang Shixiaqu","渾江轄區",127.0055,41.82825
168.0,132624,Pingquan,"平泉",118.79646,41.02322
169.0,150429,Ningcheng,"寧城",118.84872,41.55802
170.0,211322,Jianping,"建平",119.6581,41.82807
171.0,150401,"Chifeng Shixiaqu","赤峰市轄區",118.73195,42.35227
172.0,152400,"Chifeng Shi","赤峰市",0.0,0.0
173.0,150421,"Aluke`erqin Qi","阿魯科爾沁旗",120.10483,44.25743
174.0,211323,Lingyuan,"陵源",119.24297,41.00455
175.0,211422,Jianchang,"建昌",119.77063,40.74497
176.0,150430,"Aohan Qi","敖漢旗",120.2026,42.35381
177.0,211324,"Kalaqin-zuoyi Menggu Zizhixian","喀喇沁左翼蒙古族自治縣",119.76296,41.16025
178.0,210727,"Yi Xian","義縣",121.31385,41.53293
179.0,210901,"Fuxin Shixiaqu","阜新市轄區",121.7286,41.99671
180.0,210921,"Fuxin Menggu Zizhixian","阜新蒙古族自治縣",121.74191,42.15241
181.0,210724,"Jin Xian","錦縣",121.41746,41.1118
182.0,210701,"Jinzhou Shixiaqu","錦州市轄區",121.12081,41.10118
183.0,211401,"Jinxi Shixiaqu","錦西市轄區",120.65586,40.92297
184.0,211421,Suizhong,"綏中",120.05297,40.28798
185.0,130301,"Qinhuangdao Shixiaqu","秦皇島市轄區",119.63292,39.93856
186.0,210725,"Beizhen Manzu Zizhixian","北鎮滿族自治縣",121.89697,41.54306
187.0,211101,"Panjin Shixiaqu","盤錦市轄區",122.08231,41.15006
188.0,211121,Dawa,"大洼",122.10133,40.90689
189.0,211122,Panshan,"盤山",121.78788,41.1207
190.0,210726,Heishan,"黑山",122.19826,41.7696
191.0,210922,Zhangwu,"彰武",122.44461,42.47778
192.0,211225,Kangping,"康平",123.21156,42.76044
193.0,211301,"Chaoyang Shixiaqu","朝陽市轄區",120.43731,41.57575
194.0,211321,Chaoyang,"朝陽",120.34638,41.39993
195.0,211481,"Xingcheng Shi","興城市",120.48511,40.52658
196.0,211381,"Beipiao Shi","北票市",120.79876,41.81775
197.0,150428,"Kalaqin Qi","喀喇沁旗",118.77421,41.87702
198.0,130801,"Chengde Shixiaqu","承德市轄區",117.90121,41.01271
199.0,130804,"Yingshouyingzi Kuangqu","鷹手營子礦區",0.0,0.0
200.0,130821,Chengde,"承德",118.02915,41.01161
201.0,132622,"Kuancheng Manzu Zizhixian","寬城滿族自治縣",118.68186,40.5208
202.0,132627,"Fengning Manzu Zizhixian","豐寧滿族自治縣",116.65754,41.4436
203.0,132628,Longhua,"隆化",117.56549,41.47247
204.0,132629,"Weichang Manzu-Menggu Zizhixian","圍場滿族蒙古族自治縣",117.53469,42.09471
205.0,132626,Luanping,"灤平",117.28473,40.94929
206.0,150422,"Balin-zuo Qi","巴林左旗",119.27608,44.24335
207.0,150423,"Balin-you Qi","巴林右旗",119.12844,43.8253
208.0,150424,Linxi,"林西",118.16101,43.73901
209.0,152302,"Huolinguole Shi","霍林郭勒市",119.9038,45.54969
210.0,152327,"Zhalute Qi","扎魯特旗",120.55675,44.70476
