AccessTblNm,AccessFldNm,ForeignKey,ForeignKeyBaseField,FKString,FKName,skip,IndexOnField,DataFormat,NULL_allowed
biog_main,c_by_day_gz,GANZHI_CODES,c_ganzhi_code,c_ganzhi_code,BIOG_MAIN_GANZHI_BY_DAY,0,,Integer,1
biog_main,c_by_nh_code,nian_hao,c_nianhao_id,c_nianhao_id,BIOG_MAIN_nian_hao_by,1,,Integer,1
biog_main,c_by_range,year_range_codes,c_range_code,c_range_code,BIOG_MAIN_year_range_by,0,,Integer,1
biog_main,c_choronym_code,choronym_codes,c_choronym_code,c_choronym_code,BIOG_MAIN_choronym_code,0,,Integer,1
biog_main,c_death_age_range,year_range_codes,c_range_code,c_range_code,BIOG_MAIN_year_range_da,0,,Integer,1
biog_main,c_dy,dynasties,c_dy,c_dy,BIOG_MAIN_dynasty_code,0,,Integer,0
biog_main,c_dy_day_gz,GANZHI_CODES,c_ganzhi_code,c_ganzhi_code,BIOG_MAIN_GANZHI_DY_DAY,0,,Integer,1
biog_main,c_dy_nh_code,nian_hao,c_nianhao_id,c_nianhao_id,BIOG_MAIN_nian_hao_dy,0,,Integer,1
biog_main,c_dy_range,year_range_codes,c_range_code,c_range_code,BIOG_MAIN_year_range_dy,0,,Integer,1
biog_main,c_ethnicity_code,ETHNICITY_TRIBE_CODES,c_ethnicity_code,c_ethnicity_code,BIOG_MAIN_ETHNICITY_CODE,0,,Integer,1
biog_main,c_fl_ey_nh_code,nian_hao,c_nianhao_id,c_nianhao_id,BIOG_MAIN_nian_hao_fl_ey,0,,Integer,1
biog_main,c_fl_ly_nh_code,nian_hao,c_nianhao_id,c_nianhao_id,BIOG_MAIN_nian_hao_fl_ly,1,,Integer,1
BIOG_MAIN,c_household_status_code,HOUSEHOLD_STATUS_CODES,c_household_status_code,c_household_status_code,BIOG_MAIN_HOUSEHOLD_STATUS_CODE,0,,Integer,1
BIOG_SOURCE_DATA,c_personid,BIOG_MAIN,c_personid,c_personid,BIOG_SOURCE_DATA_PERSON_ID,0,"Primary Key",Long,0
BIOG_SOURCE_DATA,c_textid,TEXT_CODES,c_textid,c_textid,BIOG_SOURCE_DATA_TEXT_ID,0,"Primary Key",Long,0
entry_code_type_rel,c_entry_code,ENTRY_CODES,c_entry_code,c_entry_code,ENTRY_CODE_TYPE_REL_ENTRY_CODE,0,"Primary Key",Integer,0
entry_code_type_rel,c_entry_type,ENTRY_TYPES,c_entry_type,c_entry_type,ENTRY_CODE_TYPE_REL_ENTRY_TYPE,0,"Primary Key",Text,0
ENTRY_DATA,c_addr_id,ADDR_CODES,c_addr_id,c_addr_id,ENTRY_DATA_ADDR_ID,0,,Long,1
entry_data,c_assoc_code,ASSOC_CODES,c_assoc_code,c_assoc_code,ENTRY_DATA_ASSOC_CODE,1,"Primary Key",Integer,0
entry_data,c_assoc_id,BIOG_MAIN,c_personid,c_personid,ENTRY_DATA_ASSOC_ID,0,"Primary Key",Long,0
entry_data,c_entry_code,ENTRY_CODES,c_entry_code,c_entry_code,ENTRY_DATA_ENTRY_CODE,1,"Primary Key",Integer,0
entry_data,c_entry_range,year_range_codes,c_range_code,c_range_code,ENTRY_DATA_year_range_code,0,,Integer,1
ENTRY_DATA,c_inst_name_code,SOCIAL_INSTITUTION_NAME_CODES,c_inst_name_code,c_inst_name_code,ENTRY_DATA_SOCIAL_INSTITUTION_NAME_CODE,0,"Primary Key",Integer,0
ENTRY_DATA,"c_inst_name_code,c_inst_code",SOCIAL_INSTITUTION_CODES,c_inst_code,"c_inst_name_code,c_inst_code",ENTRY_DATA_SOCIAL_INSTITUTION_CODE,0,"Primary Key",Integer,0
entry_data,c_kin_code,KINSHIP_CODES,c_kincode,c_kincode,ENTRY_DATA_KIN_CODE,1,"Primary Key",Integer,0
entry_data,c_kin_id,BIOG_MAIN,c_personid,c_personid,ENTRY_DATA_KIN_ID,0,"Primary Key",Long,0
