c_textid,c_personid,c_name,c_lastname,c_firstname,c_name_chn,c_addr_id,c_genre_code,c_female,c_floruit,c_birthyear,c_deathyear,c_death_age
5855,0,"Zeng Caihan",Zeng,Caihan,"曾才漢",5419,3,N,1540,0,0,0
5857,0,"Tian Guan",Tian,Guan,"田琯",5404,3,N,1579,0,0,0
5869,0,"Lian Kuang",Lian,Kuang,"連",4554,3,N,1531,0,0,0
5879,0,"Guan Daxun",Guan,Daxun,"管大勳",5492,3,N,1572,0,0,0
5889,0,"Yi Shizhong",Yi,Shizhong,"易時中",4922,3,N,1540,0,0,0
5910,0,"Chu Huan",Chu,Huan,"褚宦",5043,3,N,1545,0,0,0
5915,0,"Tong Chengxu",Tong,Chengxu,"童承敘",5522,3,N,1531,0,0,0
5920,0,"Zhong Chongwen",Zhong,Chongwen,"鍾崇文",5611,3,N,1570,0,0,0
6097,0,Airulue,Airulue,,"艾儒略",0,0,N,1643,0,0,0
6110,0,"Lei Fu",Lei,"Fu,","雷福",4459,3,N,1547,0,0,0
6118,0,"Chao Li",Chao,"Li,","晁瑮",4522,3,N,1558,0,0,0
6136,0,"Ji Dagang",Ji,"Dagang,","紀大綱",4404,3,N,1643,0,0,0
6140,0,"Mei Shoude",Mei,"Shoude,","梅守德",4562,3,N,1556,0,0,0
6147,0,"Qin Liang",Qin,"Liang,","秦粱",4612,3,N,1574,0,0,0
6182,0,"Xie Cunren",Xie,"Cunren,","謝存仁",4691,3,N,1619,0,0,0
6205,0,"Yao Ben",Yao,"Ben,","姚本",4915,3,N,1545,0,0,0
6232,0,"Gou Chun",Gou,"Chun,","緱純",4751,3,N,1577,0,0,0
6238,0,"Lai Lin",Lai,"Lin,","來臨",4812,3,N,1635,0,0,0
6244,0,"Niu Menggeng",Niu,"Menggeng,","牛孟耕",5129,3,N,1566,0,0,0
6250,0,"Shao Bi",Shao,"Bi,","邵苾",5132,3,N,1542,0,0,0
