tts_sysno,c_textid,c_personid,c_role_id,c_year,c_nh_code,c_nh_year,c_range_code,c_source,c_pages,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date
243,2252,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
244,2253,1384,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
245,2253,4058,0,-1,-1,-1,-1,,0000000,,BDDYJ,20080419,,
246,2254,8128,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
247,2255,34900,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
248,2256,34900,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
249,2257,1651,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
250,2258,1651,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
251,2259,3860,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
252,2260,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
253,2261,1692,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
254,2262,7364,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
255,2263,1640,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
256,2263,8136,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
257,2264,10210,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
258,2265,1062,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
259,2266,8005,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
260,2267,34919,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
261,2268,34964,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
262,2269,1760,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
263,2270,1762,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
264,2271,35022,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
265,2272,35022,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
266,2273,28689,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
267,2274,33556,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
268,2275,1845,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
269,2276,10760,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
270,2277,7381,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
271,2278,34717,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
272,2279,10598,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
273,2280,11625,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
274,2281,1759,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
275,2282,7211,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
276,2283,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
277,2283,130605,0,-1,-1,-1,-1,,0000000,,load,20140114,,
278,2284,12066,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
279,2285,14996,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
280,2286,4001,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
281,2287,1953,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
282,2288,7055,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
283,2289,15512,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
284,2289,18187,0,-1,-1,-1,-1,,0000000,,NEUZZY,20120512,,
285,2290,29864,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
286,2292,37812,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
287,2293,2022,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
288,2294,7097,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
289,2295,10566,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
290,2296,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
291,2297,2054,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
292,2298,2054,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
293,2299,10749,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
294,2300,1897,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
295,2301,19880,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
296,2302,7104,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
297,2303,4125,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
298,2304,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
299,2304,30847,0,-1,-1,-1,-1,,0000000,,load,20100825,,
300,2304,34469,0,-1,-1,-1,-1,,0000000,,load,20100825,,
301,2304,34478,0,-1,-1,-1,-1,,0000000,,load,20100825,,
302,2304,34479,0,-1,-1,-1,-1,,0000000,,load,20100825,,
303,2304,35140,0,-1,-1,-1,-1,,0000000,,load,20100825,,
304,2304,66419,0,-1,-1,-1,-1,,0000000,,load,20100825,,
305,2304,66420,0,-1,-1,-1,-1,,0000000,,load,20100825,,
306,2304,66763,0,-1,-1,-1,-1,,0000000,,load,20100825,,
307,2304,66765,0,-1,-1,-1,-1,,0000000,,load,20100825,,
308,2304,66783,0,-1,-1,-1,-1,,0000000,,load,20100825,,
309,2304,66820,0,-1,-1,-1,-1,,0000000,,load,20100825,,
310,2304,66870,0,-1,-1,-1,-1,,0000000,,load,20100825,,
311,2304,66879,0,-1,-1,-1,-1,,0000000,,load,20100825,,
312,2304,66891,0,-1,-1,-1,-1,,0000000,,load,20100825,,
313,2304,66977,0,-1,-1,-1,-1,,0000000,,load,20100825,,
314,2304,67161,0,-1,-1,-1,-1,,0000000,,load,20100825,,
315,2304,67165,0,-1,-1,-1,-1,,0000000,,load,20100825,,
316,2304,67169,0,-1,-1,-1,-1,,0000000,,load,20100825,,
317,2304,67812,0,-1,-1,-1,-1,,0000000,,load,20100825,,
318,2304,67951,0,-1,-1,-1,-1,,0000000,,load,20100825,,
319,2304,69011,0,-1,-1,-1,-1,,0000000,,load,20100825,,
320,2305,24354,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
321,2306,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
322,2307,12319,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
323,2308,12319,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
324,2309,10276,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
325,2310,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
326,2311,10074,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
327,2312,10074,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
328,2313,10289,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
329,2314,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
330,2315,14881,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
331,2316,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
332,2317,8175,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
333,2318,10212,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
334,2319,8119,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
335,2320,3378,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
336,2321,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
337,2322,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
338,2323,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
339,2324,630,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
340,2325,0,0,-1,-1,-1,-1,,0000000,,TTS,20070312,,
