tts_sysno,c_personid,c_sequence,c_status_code,c_firstyear,c_fy_nh_code,c_fy_nh_year,c_fy_range,c_lastyear,c_ly_nh_code,c_ly_nh_year,c_ly_range,c_supplement,c_source,c_pages,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date
42245,53347,0,8,,0,,,,0,,,,7596,24057,,load,20101201,,
42246,53348,0,8,,0,,,,0,,,,7596,24058,,load,20101201,,
42247,53348,0,180,,0,,,,0,,,,7596,24058,,load,20101201,,
42248,53348,0,183,,0,,,,0,,,,7596,24058,,load,20101201,,
42249,53349,0,8,,0,,,,0,,,,7596,24059,,load,20101201,,
42250,53350,0,8,,0,,,,0,,,,7596,24060,,load,20101201,,
42251,53351,0,8,,0,,,,0,,,,7596,24063,,load,20101201,,
42252,53352,0,8,,0,,,,0,,,,7596,24064,,load,20101201,,
42253,53353,0,8,,0,,,,0,,,,7596,24065,,load,20101201,,
42254,53354,0,8,,0,,,,0,,,,7596,24066,,load,20101201,,
42255,53355,0,8,,0,,,,0,,,,7596,24067,,load,20101201,,
42256,53356,0,8,,0,,,,0,,,,7596,24068,,load,20101201,,
42257,53357,0,8,,0,,,,0,,,,7596,24070,,load,20101201,,
42258,53358,0,8,,0,,,,0,,,,7596,24071,,load,20101201,,
42259,53359,0,8,,0,,,,0,,,,7596,24072,,load,20101201,,
42260,53360,0,8,,0,,,,0,,,,7596,24073,,load,20101201,,
42261,53361,0,8,,0,,,,0,,,,7596,24074,,load,20101201,,
42262,53362,0,8,,0,,,,0,,,,7596,24076,,load,20101201,,
42263,53363,0,8,,0,,,,0,,,,7596,24077,,load,20101201,,
42264,53364,0,8,,0,,,,0,,,,7596,24078,,load,20101201,,
42265,53365,0,8,,0,,,,0,,,,7596,24079,,load,20101201,,
42266,53366,0,8,,0,,,,0,,,,7596,24080,,load,20101201,,
42267,53367,0,8,,0,,,,0,,,,7596,24081,,load,20101201,,
42268,53368,0,8,,0,,,,0,,,,7596,24082,,load,20101201,,
42269,53369,0,8,,0,,,,0,,,,7596,24083,,load,20101201,,
42270,53370,0,8,,0,,,,0,,,,7596,24084,,load,20101201,,
42271,53371,0,8,,0,,,,0,,,,7596,24085,,load,20101201,,
42272,53372,0,8,,0,,,,0,,,,7596,24086,,load,20101201,,
42273,53373,0,8,,0,,,,0,,,,7596,24087,,load,20101201,,
42274,53374,0,8,,0,,,,0,,,,7596,24088,,load,20101201,,
42275,53374,0,114,,0,,,,0,,,,7596,24088,,load,20101201,,
42276,53375,0,8,,0,,,,0,,,,7596,24089,,load,20101201,,
42277,53376,0,8,,0,,,,0,,,,7596,24090,,load,20101201,,
42278,53377,0,8,,0,,,,0,,,,7596,24091,,load,20101201,,
42279,53378,0,8,,0,,,,0,,,,7596,24092,,load,20101201,,
42280,53379,0,8,,0,,,,0,,,,7596,24093,,load,20101201,,
42281,53380,0,8,,0,,,,0,,,,7596,24094,,load,20101201,,
42282,53381,0,8,,0,,,,0,,,,7596,24095,,load,20101201,,
42283,53382,0,8,,0,,,,0,,,,7596,24096,,load,20101201,,
42284,53382,0,71,,0,,,,0,,,,7596,24096,,load,20101201,,
42285,53383,0,8,,0,,,,0,,,,7596,24097,,load,20101201,,
42286,53384,0,8,,0,,,,0,,,,7596,24098,,load,20101201,,
42287,53385,0,8,,0,,,,0,,,,7596,24099,,load,20101201,,
42288,53386,0,8,,0,,,,0,,,,7596,24101,,load,20101201,,
42289,53387,0,8,,0,,,,0,,,,7596,24102,,load,20101201,,
42290,53388,0,8,,0,,,,0,,,,7596,24103,,load,20101201,,
42291,53389,0,8,,0,,,,0,,,,7596,24104,,load,20101201,,
42292,53390,0,8,,0,,,,0,,,,7596,24105,,load,20101201,,
42293,53391,0,8,,0,,,,0,,,,7596,24106,,load,20101201,,
42294,53392,0,8,,0,,,,0,,,,7596,24107,,load,20101201,,
42295,53393,0,8,,0,,,,0,,,,7596,24108,,load,20101201,,
42296,53394,0,8,,0,,,,0,,,,7596,24109,,load,20101201,,
42297,53395,0,8,,0,,,,0,,,,7596,24110,,load,20101201,,
42298,53396,0,8,,0,,,,0,,,,7596,24111,,load,20101201,,
42299,53397,0,8,,0,,,,0,,,,7596,24112,,load,20101201,,
42300,53398,0,8,,0,,,,0,,,,7596,24113,,load,20101201,,
42301,53399,0,8,,0,,,,0,,,,7596,24114,,load,20101201,,
42302,53400,0,8,,0,,,,0,,,,7596,24115,,load,20101201,,
42303,53401,0,8,,0,,,,0,,,,7596,24116,,load,20101201,,
42304,53402,0,8,,0,,,,0,,,,7596,24117,,load,20101201,,
42305,53403,0,8,,0,,,,0,,,,7596,24118,,load,20101201,,
42306,53404,0,8,,0,,,,0,,,,7596,24119,,load,20101201,,
42307,53405,0,8,,0,,,,0,,,,7596,24120,,load,20101201,,
42308,53406,0,8,,0,,,,0,,,,7596,24121,,load,20101201,,
42309,53406,0,72,,0,,,,0,,,,7596,24121,,load,20101201,,
42310,53407,0,8,,0,,,,0,,,,7596,24122,,load,20101201,,
42311,53408,0,8,,0,,,,0,,,,7596,24123,,load,20101201,,
42312,53408,0,71,,0,,,,0,,,,7596,24123,,load,20101201,,
42313,53409,0,8,,0,,,,0,,,,7596,24124,,load,20101201,,
42314,53410,0,8,,0,,,,0,,,,7596,24125,,load,20101201,,
42315,53411,0,8,,0,,,,0,,,,7596,24126,,load,20101201,,
42316,53411,0,183,,0,,,,0,,,,7596,24126,,load,20101201,,
42317,53412,0,8,,0,,,,0,,,,7596,24127,,load,20101201,,
42318,53413,0,8,,0,,,,0,,,,7596,24128,,load,20101201,,
42319,53413,0,179,,0,,,,0,,,,7596,24128,,load,20101201,,
42320,53414,0,8,,0,,,,0,,,,7596,24130,,load,20101201,,
42321,53415,0,8,,0,,,,0,,,,7596,24131,,load,20101201,,
42322,53416,0,8,,0,,,,0,,,,7596,24132,,load,20101201,,
42323,53417,0,8,,0,,,,0,,,,7596,24133,,load,20101201,,
42324,53418,0,8,,0,,,,0,,,,7596,24135,,load,20101201,,
42325,53419,0,8,,0,,,,0,,,,7596,24136,,load,20101201,,
42326,53420,0,8,,0,,,,0,,,,7596,24137,,load,20101201,,
42327,53421,0,8,,0,,,,0,,,,7596,24138,,load,20101201,,
42328,53422,0,8,,0,,,,0,,,,7596,24139,,load,20101201,,
42329,53423,0,8,,0,,,,0,,,,7596,24140,,load,20101201,,
42330,53424,0,8,,0,,,,0,,,,7596,24141,,load,20101201,,
42331,53424,0,71,,0,,,,0,,,,7596,24141,,load,20101201,,
42332,53425,0,8,,0,,,,0,,,,7596,24142,,load,20101201,,
42333,53426,0,8,,0,,,,0,,,,7596,24143,,load,20101201,,
42334,53427,0,8,,0,,,,0,,,,7596,24144,,load,20101201,,
42335,53428,0,8,,0,,,,0,,,,7596,24145,,load,20101201,,
42336,53429,0,8,,0,,,,0,,,,7596,24146,,load,20101201,,
42337,53430,0,8,,0,,,,0,,,,7596,24147,,load,20101201,,
42338,53430,0,253,,0,,,,0,,,,7596,24147,,load,20101201,,
42339,53431,0,8,,0,,,,0,,,,7596,24148,,load,20101201,,
42340,53432,0,8,,0,,,,0,,,,7596,24149,,load,20101201,,
42341,53433,0,8,,0,,,,0,,,,7596,24150,,load,20101201,,
42342,53434,0,8,,0,,,,0,,,,7596,24151,,load,20101201,,
42343,53435,0,8,,0,,,,0,,,,7596,24152,,load,20101201,,
42344,53436,0,8,,0,,,,0,,,,7596,24153,,load,20101201,,
42345,53437,0,8,,0,,,,0,,,,7596,24154,,load,20101201,,
42346,53438,0,8,,0,,,,0,,,,7596,24155,,load,20101201,,
42347,53439,0,8,,0,,,,0,,,,7596,24156,,load,20101201,,
42348,53440,0,8,,0,,,,0,,,,7596,24157,,load,20101201,,
42349,53441,0,8,,0,,,,0,,,,7596,24158,,load,20101201,,
42350,53442,0,8,,0,,,,0,,,,7596,24159,,load,20101201,,
42351,53443,0,8,,0,,,,0,,,,7596,24161,,load,20101201,,
42352,53443,0,114,,0,,,,0,,,,7596,24161,,load,20101201,,
42353,53444,0,8,,0,,,,0,,,,7596,24162,,load,20101201,,
42354,53445,0,8,,0,,,,0,,,,7596,24164,,load,20101201,,
42355,53446,0,8,,0,,,,0,,,,7596,24165,,load,20101201,,
42356,53447,0,8,,0,,,,0,,,,7596,24166,,load,20101201,,
42357,53448,0,8,,0,,,,0,,,,7596,24168,,load,20101201,,
42358,53449,0,8,,0,,,,0,,,,7596,24169,,load,20101201,,
42359,53450,0,8,,0,,,,0,,,,7596,24170,,load,20101201,,
42360,53451,0,8,,0,,,,0,,,,7596,24171,,load,20101201,,
42361,53452,0,8,,0,,,,0,,,,7596,24172,,load,20101201,,
42362,53453,0,8,,0,,,,0,,,,7596,24173,,load,20101201,,
42363,53454,0,8,,0,,,,0,,,,7596,24174,,load,20101201,,
42364,53454,0,102,,0,,,,0,,,,7596,24174,,load,20101201,,
42365,53455,0,8,,0,,,,0,,,,7596,24175,,load,20101201,,
42366,53456,0,8,,0,,,,0,,,,7596,24176,,load,20101201,,
42367,53457,0,8,,0,,,,0,,,,7596,24177,,load,20101201,,
42368,53458,0,8,,0,,,,0,,,,7596,24178,,load,20101201,,
42369,53459,0,8,,0,,,,0,,,,7596,24179,,load,20101201,,
42370,53460,0,8,,0,,,,0,,,,7596,24180,,load,20101201,,
42371,53461,0,8,,0,,,,0,,,,7596,24181,,load,20101201,,
42372,53462,0,8,,0,,,,0,,,,7596,24182,,load,20101201,,
42373,53463,0,8,,0,,,,0,,,,7596,24183,,load,20101201,,
42374,53464,0,8,,0,,,,0,,,,7596,24184,,load,20101201,,
42375,53465,0,8,,0,,,,0,,,,7596,24185,,load,20101201,,
42376,53466,0,8,,0,,,,0,,,,7596,24186,,load,20101201,,
42377,53467,0,8,,0,,,,0,,,,7596,24187,,load,20101201,,
42378,53468,0,8,,0,,,,0,,,,7596,24188,,load,20101201,,
42379,53469,0,8,,0,,,,0,,,,7596,24189,,load,20101201,,
42380,53470,0,8,,0,,,,0,,,,7596,24190,,load,20101201,,
42381,53471,0,8,,0,,,,0,,,,7596,24191,,load,20101201,,
42382,53472,0,8,,0,,,,0,,,,7596,24192,,load,20101201,,
42383,53473,0,8,,0,,,,0,,,,7596,24193,,load,20101201,,
42384,53474,0,8,,0,,,,0,,,,7596,24195,,load,20101201,,
42385,53474,0,114,,0,,,,0,,,,7596,24195,,load,20101201,,
42386,53475,0,8,,0,,,,0,,,,7596,24196,,load,20101201,,
42387,53476,0,8,,0,,,,0,,,,7596,24197,,load,20101201,,
42388,53477,0,8,,0,,,,0,,,,7596,24198,,load,20101201,,
42389,53478,0,8,,0,,,,0,,,,7596,24199,,load,20101201,,
42390,53478,0,71,,0,,,,0,,,,7596,24199,,load,20101201,,
42391,53479,0,8,,0,,,,0,,,,7596,24200,,load,20101201,,
42392,53480,0,8,,0,,,,0,,,,7596,24201,,load,20101201,,
42393,53481,0,8,,0,,,,0,,,,7596,24202,,load,20101201,,
42394,53482,0,8,,0,,,,0,,,,7596,24203,,load,20101201,,
42395,53483,0,8,,0,,,,0,,,,7596,24204,,load,20101201,,
42396,53484,0,8,,0,,,,0,,,,7596,24205,,load,20101201,,
42397,53484,0,164,,0,,,,0,,,,7596,24205,,load,20101201,,
42398,53485,0,8,,0,,,,0,,,,7596,24206,,load,20101201,,
42399,53485,0,71,,0,,,,0,,,,7596,24206,,load,20101201,,
42400,53486,0,8,,0,,,,0,,,,7596,24207,,load,20101201,,
42401,53487,0,8,,0,,,,0,,,,7596,24208,,load,20101201,,
42402,53488,0,8,,0,,,,0,,,,7596,24209,,load,20101201,,
42403,53489,0,8,,0,,,,0,,,,7596,24210,,load,20101201,,
42404,53490,0,8,,0,,,,0,,,,7596,24211,,load,20101201,,
42405,53491,0,8,,0,,,,0,,,,7596,24212,,load,20101201,,
42406,53492,0,8,,0,,,,0,,,,7596,24213,,load,20101201,,
42407,53493,0,8,,0,,,,0,,,,7596,24214,,load,20101201,,
42408,53494,0,8,,0,,,,0,,,,7596,24215,,load,20101201,,
42409,53495,0,8,,0,,,,0,,,,7596,24216,,load,20101201,,
42410,53496,0,8,,0,,,,0,,,,7596,24217,,load,20101201,,
42411,53496,0,90,,0,,,,0,,,,7596,24217,,load,20101201,,
42412,53497,0,8,,0,,,,0,,,,7596,24218,,load,20101201,,
42413,53498,0,8,,0,,,,0,,,,7596,24219,,load,20101201,,
42414,53499,0,8,,0,,,,0,,,,7596,24220,,load,20101201,,
42415,53500,0,8,,0,,,,0,,,,7596,24221,,load,20101201,,
42416,53500,0,50,,0,,,,0,,,,7596,24221,,load,20101201,,
42417,53501,0,8,,0,,,,0,,,,7596,24222,,load,20101201,,
42418,53502,0,8,,0,,,,0,,,,7596,24223,,load,20101201,,
42419,53503,0,8,,0,,,,0,,,,7596,24224,,load,20101201,,
42420,53504,0,8,,0,,,,0,,,,7596,24225,,load,20101201,,
42421,53505,0,8,,0,,,,0,,,,7596,24226,,load,20101201,,
42422,53506,0,8,,0,,,,0,,,,7596,24227,,load,20101201,,
42423,53507,0,8,,0,,,,0,,,,7596,24228,,load,20101201,,
42424,53508,0,8,,0,,,,0,,,,7596,24229,,load,20101201,,
42425,53509,0,8,,0,,,,0,,,,7596,24230,,load,20101201,,
42426,53510,0,8,,0,,,,0,,,,7596,24231,,load,20101201,,
42427,53511,0,8,,0,,,,0,,,,7596,24232,,load,20101201,,
42428,53512,0,8,,0,,,,0,,,,7596,24233,,load,20101201,,
42429,53513,0,8,,0,,,,0,,,,7596,24234,,load,20101201,,
42430,53514,0,8,,0,,,,0,,,,7596,24235,,load,20101201,,
42431,53515,0,8,,0,,,,0,,,,7596,24236,,load,20101201,,
42432,53516,0,8,,0,,,,0,,,,7596,24237,,load,20101201,,
42433,53517,0,8,,0,,,,0,,,,7596,24238,,load,20101201,,
42434,53518,0,8,,0,,,,0,,,,7596,24239,,load,20101201,,
42435,53519,0,8,,0,,,,0,,,,7596,24240,,load,20101201,,
42436,53520,0,8,,0,,,,0,,,,7596,24241,,load,20101201,,
42437,53521,0,8,,0,,,,0,,,,7596,24242,,load,20101201,,
42438,53522,0,8,,0,,,,0,,,,7596,24243,,load,20101201,,
42439,53523,0,8,,0,,,,0,,,,7596,24244,,load,20101201,,
42440,53524,0,8,,0,,,,0,,,,7596,24246,,load,20101201,,
42441,53525,0,8,,0,,,,0,,,,7596,24247,,load,20101201,,
42442,53526,0,8,,0,,,,0,,,,7596,24248,,load,20101201,,
42443,53527,0,8,,0,,,,0,,,,7596,24249,,load,20101201,,
42444,53528,0,8,,0,,,,0,,,,7596,24250,,load,20101201,,
42445,53529,0,8,,0,,,,0,,,,7596,24251,,load,20101201,,
42446,53530,0,8,,0,,,,0,,,,7596,24252,,load,20101201,,
42447,53531,0,8,,0,,,,0,,,,7596,24253,,load,20101201,,
42448,53532,0,8,,0,,,,0,,,,7596,24254,,load,20101201,,
42449,53533,0,8,,0,,,,0,,,,7596,24255,,load,20101201,,
42450,53533,0,114,,0,,,,0,,,,7596,24255,,load,20101201,,
42451,53534,0,8,,0,,,,0,,,,7596,24256,,load,20101201,,
42452,53535,0,8,,0,,,,0,,,,7596,24257,,load,20101201,,
42453,53535,0,9,,0,,,,0,,,,7596,24257,,load,20101201,,
